Protein	STRING protein	Protein_Info	identity	bitscore
Q8WM99	HLA-B	Major histocompatibility complex, class I, B; Involved in the presentation of foreign antigens to the immune system	89 %	85.9
Q8WUW7	PKM	Pyruvate kinase, muscle; Glycolytic enzyme that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP. Stimulates POU5F1-mediated transcriptional activation. Plays a general role in caspase independent cell death of tumor cells. The ratio betwween the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production. The transition between the 2 forms contributes to the control of glycolysis and is important for tumor cell proliferat [...] 	94 %	662
Q96PD5	PGLYRP2	Peptidoglycan recognition protein 2; May play a scavenger role by digesting biologically active peptidoglycan (PGN) into biologically inactive fragments. Has no direct bacteriolytic activity	100 %	1169
Q99592	ZNF238	Zinc finger protein 238; Transcriptional repressor that plays a role in various developmental processes such as myogenesis and brain development. Plays a key role in myogenesis by directly repressing the expression of ID2 and ID3, 2 inhibitors of skeletal myogenesis. Also involved in controlling cell division of progenitor cells and regulating the survival of postmitotic cortical neurons. Specifically binds the consensus DNA sequence 5'- [AC]ACATCTG[GT][AC]-3' which contains the E box core, and acts by recruiting chromatin remodeling multiprotein complexes. May also play a role in the [...] 	100 %	1081
Q9NSY8	MASP1	Mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	100 %	173
Q9NTU7	CBLN4	Cerebellin 4 precursor; May be involved in synaptic functions in the CNS. May play a role in CBLN3 export from the endoplasmic reticulum and secretion (By similarity)	100 %	411
Q9NZD4	AHSP	Alpha hemoglobin stabilizing protein; Acts as a chaperone to prevent the harmful aggregation of alpha-hemoglobin during normal erythroid cell development. Specifically protects free alpha-hemoglobin from precipitation. It is predicted to modulate pathological states of alpha-hemoglobin excess such as beta-thalassemia	100 %	211
Q9P1C5	ITIH1	Inter-alpha-trypsin inhibitor heavy chain 1; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes	99 %	958
Q9Y5Y7	LYVE1	Lymphatic vessel endothelial hyaluronan receptor 1; Ligand-specific transporter trafficking between intracellular organelles (TGN) and the plasma membrane. Plays a role in autocrine regulation of cell growth mediated by growth regulators containing cell surface retention sequence binding (CRS). May act as a hyaluronan (HA) transporter, either mediating its uptake for catabolism within lymphatic endothelial cells themselves, or its transport into the lumen of afferent lymphatic vessels for subsequent re-uptake and degradation in lymph nodes	100 %	658
R4GN98	S100A6	S100 calcium binding protein A6; May function as calcium sensor and modulator, contributing to cellular calcium signaling. May function by interacting with other proteins, such as TPR-containing proteins, and indirectly play a role in many physiological processes such as the reorganization of the actin cytoskeleton and in cell motility. Binds 2 calcium ions. Calcium binding is cooperative	100 %	174
S4R471	AMBP	Alpha-1-microglobulin/bikunin precursor; Inter-alpha-trypsin inhibitor inhibits trypsin, plasmin, and lysosomal granulocytic elastase. Inhibits calcium oxalate crystallization	91 %	395
